地名,センター,もえるごみ,もえないごみ,容器包装・資源ごみ,粗大ごみ
津幡,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160422 20160527 20160624 20160722 20160826 20160923 20161028 20161125 20161223 20170127 20170224 20170324,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
緑が丘,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160422 20160527 20160624 20160722 20160826 20160923 20161028 20161125 20161223 20170127 20170224 20170324,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
竹橋,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160422 20160527 20160624 20160722 20160826 20160923 20161028 20161125 20161223 20170127 20170224 20170324,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
富田,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160422 20160527 20160624 20160722 20160826 20160923 20161028 20161125 20161223 20170127 20170224 20170324,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
刈安,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160422 20160527 20160624 20160722 20160826 20160923 20161028 20161125 20161223 20170127 20170224 20170324,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
越中坂,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160422 20160527 20160624 20160722 20160826 20160923 20161028 20161125 20161223 20170127 20170224 20170324,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
坂戸,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160422 20160527 20160624 20160722 20160826 20160923 20161028 20161125 20161223 20170127 20170224 20170324,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
上野,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160422 20160527 20160624 20160722 20160826 20160923 20161028 20161125 20161223 20170127 20170224 20170324,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
河内,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160422 20160527 20160624 20160722 20160826 20160923 20161028 20161125 20161223 20170127 20170224 20170324,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
九折,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160422 20160527 20160624 20160722 20160826 20160923 20161028 20161125 20161223 20170127 20170224 20170324,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
俱利伽羅,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160422 20160527 20160624 20160722 20160826 20160923 20161028 20161125 20161223 20170127 20170224 20170324,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
山森,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160422 20160527 20160624 20160722 20160826 20160923 20161028 20161125 20161223 20170127 20170224 20170324,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
原,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160422 20160527 20160624 20160722 20160826 20160923 20161028 20161125 20161223 20170127 20170224 20170324,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
七野,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160422 20160527 20160624 20160722 20160826 20160923 20161028 20161125 20161223 20170127 20170224 20170324,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
東荒屋,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160422 20160527 20160624 20160722 20160826 20160923 20161028 20161125 20161223 20170127 20170224 20170324,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
明神,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160422 20160527 20160624 20160722 20160826 20160923 20161028 20161125 20161223 20170127 20170224 20170324,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
井野河内,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160422 20160527 20160624 20160722 20160826 20160923 20161028 20161125 20161223 20170127 20170224 20170324,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
大坪,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160422 20160527 20160624 20160722 20160826 20160923 20161028 20161125 20161223 20170127 20170224 20170324,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
別所,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160422 20160527 20160624 20160722 20160826 20160923 20161028 20161125 20161223 20170127 20170224 20170324,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
下藤又,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160422 20160527 20160624 20160722 20160826 20160923 20161028 20161125 20161223 20170127 20170224 20170324,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
仮生,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160422 20160527 20160624 20160722 20160826 20160923 20161028 20161125 20161223 20170127 20170224 20170324,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
材木,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160422 20160527 20160624 20160722 20160826 20160923 20161028 20161125 20161223 20170127 20170224 20170324,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
下中,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160422 20160527 20160624 20160722 20160826 20160923 20161028 20161125 20161223 20170127 20170224 20170324,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
朝日畑,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160422 20160527 20160624 20160722 20160826 20160923 20161028 20161125 20161223 20170127 20170224 20170324,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
相窪,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160422 20160527 20160624 20160722 20160826 20160923 20161028 20161125 20161223 20170127 20170224 20170324,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
南横根,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160422 20160527 20160624 20160722 20160826 20160923 20161028 20161125 20161223 20170127 20170224 20170324,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
北横根,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160422 20160527 20160624 20160722 20160826 20160923 20161028 20161125 20161223 20170127 20170224 20170324,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
大窪,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160422 20160527 20160624 20160722 20160826 20160923 20161028 20161125 20161223 20170127 20170224 20170324,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
上藤又,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160422 20160527 20160624 20160722 20160826 20160923 20161028 20161125 20161223 20170127 20170224 20170324,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
常徳,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160422 20160527 20160624 20160722 20160826 20160923 20161028 20161125 20161223 20170127 20170224 20170324,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
舟尾,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160422 20160527 20160624 20160722 20160826 20160923 20161028 20161125 20161223 20170127 20170224 20170324,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
旭山,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20160422 20160527 20160624 20160722 20160826 20160923 20161028 20161125 20161223 20170127 20170224 20170324,水1,20160420 20160525 20160622 20160720 20160817 20160921 20161019 20161116 20161221 20170118 20170215 20170315
南中条,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20160402 20160507 20160604 20160702 20160806 20160903 20161001 20161105 20161203 20170107 20170204 20170304,水2,20160427 20160601 20160629 20160727 20160824 20160928 20161026 20161123 20161228 20170125 20170222 20170322
北中条,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20160402 20160507 20160604 20160702 20160806 20160903 20161001 20161105 20161203 20170107 20170204 20170304,水2,20160427 20160601 20160629 20160727 20160824 20160928 20161026 20161123 20161228 20170125 20170222 20170322
太田,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20160402 20160507 20160604 20160702 20160806 20160903 20161001 20161105 20161203 20170107 20170204 20170304,水2,20160427 20160601 20160629 20160727 20160824 20160928 20161026 20161123 20161228 20170125 20170222 20170322
